2021-11-05 13:18:10
2021-11-05 18:42:16

step :5000 |ssim:0.5703| psnr:18.9811
step :170000 |ssim:0.9276| psnr:28.6388psnr:28.7848 |ssim:0.9686psnr:28.5021 |ssim:0.8896
step :175000 |ssim:0.9291| psnr:28.6435psnr:29.0202 |ssim:0.9680psnr:28.3871 |ssim:0.8863
step :180000 |ssim:0.9271| psnr:28.7037psnr:29.0476 |ssim:0.9700psnr:28.1983 |ssim:0.8833
step :185000 |ssim:0.9267| psnr:28.6230psnr:29.0528 |ssim:0.9692psnr:28.4650 |ssim:0.8890
step :190000 |ssim:0.9291| psnr:28.7589psnr:29.6472 |ssim:0.9725psnr:28.3997 |ssim:0.8896
step :195000 |ssim:0.9310| psnr:29.0234
 model saved at step :195000| max_psnr:29.0234|max_ssim:0.9310psnr:29.1256 |ssim:0.9703psnr:28.5668 |ssim:0.8907
step :200000 |ssim:0.9305| psnr:28.8462psnr:29.2882 |ssim:0.9704psnr:28.5325 |ssim:0.8893
step :205000 |ssim:0.9299| psnr:28.9103psnr:29.3740 |ssim:0.9707psnr:28.5334 |ssim:0.8897
step :210000 |ssim:0.9302| psnr:28.9537psnr:28.6863 |ssim:0.9664psnr:28.2419 |ssim:0.8847
step :215000 |ssim:0.9255| psnr:28.4641psnr:28.9470 |ssim:0.9692psnr:28.4426 |ssim:0.8871
step :220000 |ssim:0.9281| psnr:28.6948psnr:29.0688 |ssim:0.9701psnr:28.6120 |ssim:0.8926
step :225000 |ssim:0.9314| psnr:28.8404psnr:29.2332 |ssim:0.9712psnr:28.4970 |ssim:0.8917
step :230000 |ssim:0.9315| psnr:28.8651psnr:29.4735 |ssim:0.9717psnr:28.5266 |ssim:0.8910
step :235000 |ssim:0.9313| psnr:29.0001psnr:29.6349 |ssim:0.9723psnr:28.6805 |ssim:0.8924
step :240000 |ssim:0.9324| psnr:29.1577
 model saved at step :240000| max_psnr:29.1577|max_ssim:0.9324psnr:29.3622 |ssim:0.9715psnr:28.6506 |ssim:0.8932
step :245000 |ssim:0.9324| psnr:29.0064psnr:29.4239 |ssim:0.9703psnr:28.5568 |ssim:0.8892
step :250000 |ssim:0.9298| psnr:28.9904psnr:29.2202 |ssim:0.9710psnr:28.6105 |ssim:0.8927
step :255000 |ssim:0.9318| psnr:28.9153psnr:29.2412 |ssim:0.9710psnr:28.6056 |ssim:0.8939
step :260000 |ssim:0.9324| psnr:28.9234psnr:29.5513 |ssim:0.9717psnr:28.6427 |ssim:0.8929
step :265000 |ssim:0.9323| psnr:29.0970psnr:29.2486 |ssim:0.9709psnr:28.7082 |ssim:0.8950
step :270000 |ssim:0.9330| psnr:28.9784psnr:29.3783 |ssim:0.9714psnr:28.7315 |ssim:0.8943
step :275000 |ssim:0.9328| psnr:29.0549psnr:29.5393 |ssim:0.9715psnr:28.6937 |ssim:0.8928
step :280000 |ssim:0.9322| psnr:29.1165psnr:29.5135 |ssim:0.9716psnr:28.6963 |ssim:0.8940
step :285000 |ssim:0.9328| psnr:29.1049psnr:29.2839 |ssim:0.9710psnr:28.7219 |ssim:0.8954
step :290000 |ssim:0.9332| psnr:29.0029psnr:29.2373 |ssim:0.9712psnr:28.7603 |ssim:0.8960
step :295000 |ssim:0.9336| psnr:28.9988psnr:29.1666 |ssim:0.9705psnr:28.7497 |ssim:0.8959
step :300000 |ssim:0.9332| psnr:28.9582psnr:29.2918 |ssim:0.9712psnr:28.7478 |ssim:0.8949
step :305000 |ssim:0.9330| psnr:29.0198psnr:29.3681 |ssim:0.9712psnr:28.6701 |ssim:0.8928
step :310000 |ssim:0.9320| psnr:29.0191psnr:29.4206 |ssim:0.9716psnr:28.7041 |ssim:0.8946
step :315000 |ssim:0.9331| psnr:29.0623psnr:29.4165 |ssim:0.9719psnr:28.7358 |ssim:0.8950
step :320000 |ssim:0.9335| psnr:29.0762psnr:29.3033 |ssim:0.9714psnr:28.7365 |ssim:0.8966
step :325000 |ssim:0.9340| psnr:29.0199psnr:29.3978 |ssim:0.9711psnr:28.7113 |ssim:0.8951
step :330000 |ssim:0.9331| psnr:29.0546psnr:29.4903 |ssim:0.9723psnr:28.7201 |ssim:0.8960
step :335000 |ssim:0.9342| psnr:29.1052psnr:29.3427 |ssim:0.9715psnr:28.7354 |ssim:0.8961
step :340000 |ssim:0.9338| psnr:29.0390psnr:29.3692 |ssim:0.9713psnr:28.7728 |ssim:0.8959
step :345000 |ssim:0.9336| psnr:29.0710psnr:29.3055 |ssim:0.9710psnr:28.7487 |ssim:0.8958
step :350000 |ssim:0.9334| psnr:29.0271psnr:29.3919 |ssim:0.9717psnr:28.7399 |ssim:0.8962
step :355000 |ssim:0.9340| psnr:29.0659psnr:29.5194 |ssim:0.9721psnr:28.7525 |ssim:0.8966
step :360000 |ssim:0.9343| psnr:29.1360psnr:29.4200 |ssim:0.9719psnr:28.7556 |ssim:0.8965
step :365000 |ssim:0.9342| psnr:29.0878psnr:29.4128 |ssim:0.9719psnr:28.7570 |ssim:0.8967
step :370000 |ssim:0.9343| psnr:29.0849psnr:29.4128 |ssim:0.9717psnr:28.7410 |ssim:0.8966
step :375000 |ssim:0.9341| psnr:29.0769psnr:29.4086 |ssim:0.9717psnr:28.7532 |ssim:0.8966
step :380000 |ssim:0.9342| psnr:29.0809psnr:29.5022 |ssim:0.9721psnr:28.7552 |ssim:0.8964
step :385000 |ssim:0.9342| psnr:29.1287psnr:29.4308 |ssim:0.9718psnr:28.7616 |ssim:0.8968
step :390000 |ssim:0.9343| psnr:29.0962psnr:29.4831 |ssim:0.9719psnr:28.7680 |ssim:0.8964
step :395000 |ssim:0.9342| psnr:29.1256psnr:29.4874 |ssim:0.9722psnr:28.7441 |ssim:0.8965
step :400000 |ssim:0.9344| psnr:29.1157psnr:29.4451 |ssim:0.9718psnr:28.7535 |ssim:0.8967
step :405000 |ssim:0.9342| psnr:29.0993psnr:29.4928 |ssim:0.9721psnr:28.7397 |ssim:0.8964
step :410000 |ssim:0.9343| psnr:29.1163psnr:29.4674 |ssim:0.9719psnr:28.7430 |ssim:0.8969
step :415000 |ssim:0.9344| psnr:29.1052psnr:29.4433 |ssim:0.9719psnr:28.7447 |ssim:0.8966
step :420000 |ssim:0.9343| psnr:29.0940psnr:29.4434 |ssim:0.9718psnr:28.7428 |ssim:0.8964
step :425000 |ssim:0.9341| psnr:29.0931psnr:29.4645 |ssim:0.9720psnr:28.7405 |ssim:0.8967
step :430000 |ssim:0.9343| psnr:29.1025psnr:29.4908 |ssim:0.9720psnr:28.7271 |ssim:0.8967
step :435000 |ssim:0.9343| psnr:29.1089psnr:29.4710 |ssim:0.9720psnr:28.7336 |ssim:0.8968
step :440000 |ssim:0.9344| psnr:29.10232022-08-09 14:58:26
2022-08-09 14:58:52
2022-08-09 14:59:41
psnr:29.4847 |ssim:0.9721psnr:28.7397 |ssim:0.8967
step :445000 |ssim:0.9344| psnr:29.1122psnr:29.4739 |ssim:0.9720psnr:28.7400 |ssim:0.8968
step :450000 |ssim:0.9344| psnr:29.1070psnr:29.4769 |ssim:0.9720psnr:28.7257 |ssim:0.8965
step :455000 |ssim:0.9343| psnr:29.1013psnr:29.4838 |ssim:0.9721psnr:28.7417 |ssim:0.8968
step :460000 |ssim:0.9345| psnr:29.1127psnr:29.4713 |ssim:0.9720psnr:28.7389 |ssim:0.8967
step :465000 |ssim:0.9344| psnr:29.1051psnr:29.4771 |ssim:0.9721psnr:28.7339 |ssim:0.8967
step :470000 |ssim:0.9344| psnr:29.1055psnr:29.4857 |ssim:0.9721psnr:28.7337 |ssim:0.8966
step :475000 |ssim:0.9344| psnr:29.1097psnr:29.4828 |ssim:0.9721psnr:28.7366 |ssim:0.8967
step :480000 |ssim:0.9344| psnr:29.1097psnr:29.4838 |ssim:0.9721psnr:28.7368 |ssim:0.8968
step :485000 |ssim:0.9344| psnr:29.1103psnr:29.4823 |ssim:0.9721psnr:28.7356 |ssim:0.8967
step :490000 |ssim:0.9344| psnr:29.1089psnr:29.4843 |ssim:0.9721psnr:28.7358 |ssim:0.8967
step :495000 |ssim:0.9344| psnr:29.1101psnr:29.4837 |ssim:0.9721psnr:28.7356 |ssim:0.8967
step :500000 |ssim:0.9344| psnr:29.10972022-08-10 09:38:452022-09-14 19:34:11
2022-09-14 19:34:43
2022-09-14 19:40:55
2022-09-14 19:50:27
2022-09-14 19:50:52
2022-09-19 21:09:40
2022-09-21 15:32:20
psnr:29.6028 |ssim:0.9703psnr:23.9510 |ssim:0.7748
step :5000 |ssim:0.8725| psnr:26.7769
 model saved at step :5000| max_psnr:26.7769|max_ssim:0.8725psnr:30.4498 |ssim:0.9760psnr:25.4644 |ssim:0.8144
step :10000 |ssim:0.8952| psnr:27.9571
 model saved at step :10000| max_psnr:27.9571|max_ssim:0.8952psnr:30.2621 |ssim:0.9751psnr:25.6881 |ssim:0.8143
step :15000 |ssim:0.8947| psnr:27.9751psnr:29.8062 |ssim:0.9746psnr:26.1432 |ssim:0.8304
step :20000 |ssim:0.9025| psnr:27.9747
 model saved at step :20000| max_psnr:27.9747|max_ssim:0.9025psnr:29.6801 |ssim:0.9721psnr:25.8864 |ssim:0.8307
step :25000 |ssim:0.9014| psnr:27.7832psnr:29.6898 |ssim:0.9736psnr:26.0774 |ssim:0.8389
step :30000 |ssim:0.9062| psnr:27.8836psnr:29.7403 |ssim:0.9680psnr:26.4360 |ssim:0.8396
step :35000 |ssim:0.9038| psnr:28.0882
 model saved at step :35000| max_psnr:28.0882|max_ssim:0.9038psnr:30.5355 |ssim:0.9749psnr:25.9727 |ssim:0.8393
step :40000 |ssim:0.9071| psnr:28.2541
 model saved at step :40000| max_psnr:28.2541|max_ssim:0.9071psnr:29.9452 |ssim:0.9747psnr:26.8102 |ssim:0.8495
step :45000 |ssim:0.9121| psnr:28.3777
 model saved at step :45000| max_psnr:28.3777|max_ssim:0.9121psnr:29.9263 |ssim:0.9743psnr:27.0897 |ssim:0.8558
step :50000 |ssim:0.9151| psnr:28.5080
 model saved at step :50000| max_psnr:28.5080|max_ssim:0.9151psnr:30.0951 |ssim:0.9749psnr:27.1910 |ssim:0.8546
step :55000 |ssim:0.9147| psnr:28.6431psnr:30.9619 |ssim:0.9768psnr:27.2128 |ssim:0.8505
step :60000 |ssim:0.9136| psnr:29.0874psnr:29.9714 |ssim:0.9756psnr:26.9416 |ssim:0.8532
step :65000 |ssim:0.9144| psnr:28.4565psnr:29.8445 |ssim:0.9720psnr:27.1292 |ssim:0.8560
step :70000 |ssim:0.9140| psnr:28.4869psnr:30.3535 |ssim:0.9756psnr:27.4610 |ssim:0.8653
step :75000 |ssim:0.9205| psnr:28.9073
 model saved at step :75000| max_psnr:28.9073|max_ssim:0.9205psnr:29.1032 |ssim:0.9653psnr:26.5735 |ssim:0.8521
step :80000 |ssim:0.9087| psnr:27.8384psnr:30.3485 |ssim:0.9761psnr:27.4776 |ssim:0.8656
step :85000 |ssim:0.9208| psnr:28.9131
 model saved at step :85000| max_psnr:28.9131|max_ssim:0.9208psnr:28.9027 |ssim:0.9703psnr:27.6137 |ssim:0.8689
step :90000 |ssim:0.9196| psnr:28.2582psnr:29.6869 |ssim:0.9736psnr:27.5802 |ssim:0.8672
step :95000 |ssim:0.9204| psnr:28.6336psnr:31.0460 |ssim:0.9771psnr:27.5218 |ssim:0.8593
step :100000 |ssim:0.9182| psnr:29.2839psnr:30.7577 |ssim:0.9773psnr:27.7749 |ssim:0.8706
step :105000 |ssim:0.9240| psnr:29.2663
 model saved at step :105000| max_psnr:29.2663|max_ssim:0.9240psnr:30.1724 |ssim:0.9740psnr:27.7048 |ssim:0.8688
step :110000 |ssim:0.9214| psnr:28.9386psnr:30.3904 |ssim:0.9759psnr:27.7249 |ssim:0.8682
step :115000 |ssim:0.9220| psnr:29.0577psnr:30.2100 |ssim:0.9763psnr:27.7866 |ssim:0.8731
step :120000 |ssim:0.9247| psnr:28.9983psnr:30.0747 |ssim:0.9745psnr:27.7300 |ssim:0.8714
step :125000 |ssim:0.9230| psnr:28.9023psnr:30.4464 |ssim:0.9759psnr:27.9383 |ssim:0.8735
step :130000 |ssim:0.9247| psnr:29.1923psnr:30.5251 |ssim:0.9752psnr:27.6813 |ssim:0.8689
step :135000 |ssim:0.9221| psnr:29.1032psnr:30.5427 |ssim:0.9762psnr:28.0322 |ssim:0.8766
step :140000 |ssim:0.9264| psnr:29.2874
 model saved at step :140000| max_psnr:29.2874|max_ssim:0.9264psnr:30.1977 |ssim:0.9761psnr:27.6951 |ssim:0.8717
step :145000 |ssim:0.9239| psnr:28.9464psnr:30.8605 |ssim:0.9768psnr:27.6954 |ssim:0.8742
step :150000 |ssim:0.9255| psnr:29.2779psnr:30.1656 |ssim:0.9756psnr:27.9787 |ssim:0.8717
step :155000 |ssim:0.9236| psnr:29.0721psnr:30.5100 |ssim:0.9766psnr:27.6741 |ssim:0.8745
step :160000 |ssim:0.9255| psnr:29.0920psnr:30.6450 |ssim:0.9765psnr:28.0564 |ssim:0.8791
step :165000 |ssim:0.9278| psnr:29.3507
 model saved at step :165000| max_psnr:29.3507|max_ssim:0.9278psnr:30.3471 |ssim:0.9759psnr:28.1303 |ssim:0.8795
step :170000 |ssim:0.9277| psnr:29.2387psnr:30.3341 |ssim:0.9760psnr:28.0874 |ssim:0.8766
step :175000 |ssim:0.9263| psnr:29.2108psnr:30.1758 |ssim:0.9742psnr:28.2275 |ssim:0.8813
step :180000 |ssim:0.9278| psnr:29.2016psnr:30.5922 |ssim:0.9766psnr:27.9438 |ssim:0.8758
step :185000 |ssim:0.9262| psnr:29.2680psnr:30.1831 |ssim:0.9753psnr:28.2254 |ssim:0.8801
step :190000 |ssim:0.9277| psnr:29.2042psnr:30.5285 |ssim:0.9751psnr:28.1133 |ssim:0.8803
step :195000 |ssim:0.9277| psnr:29.3209psnr:30.5380 |ssim:0.9759psnr:28.1795 |ssim:0.8816
step :200000 |ssim:0.9287| psnr:29.3587
 model saved at step :200000| max_psnr:29.3587|max_ssim:0.9287psnr:30.6681 |ssim:0.9761psnr:28.1732 |ssim:0.8802
step :205000 |ssim:0.9282| psnr:29.4207psnr:30.5678 |ssim:0.9770psnr:28.3248 |ssim:0.8846
step :210000 |ssim:0.9308| psnr:29.4463
 model saved at step :210000| max_psnr:29.4463|max_ssim:0.9308psnr:30.8732 |ssim:0.9778psnr:28.3140 |ssim:0.8832
step :215000 |ssim:0.9305| psnr:29.5936psnr:30.2140 |ssim:0.9758psnr:28.2006 |ssim:0.8803
step :220000 |ssim:0.9281| psnr:29.2073psnr:30.4658 |ssim:0.9758psnr:28.0128 |ssim:0.8807
step :225000 |ssim:0.9283| psnr:29.2393psnr:30.6295 |ssim:0.9761psnr:28.2432 |ssim:0.8831
step :230000 |ssim:0.9296| psnr:29.4364psnr:30.6836 |ssim:0.9772psnr:28.3454 |ssim:0.8853
step :235000 |ssim:0.9313| psnr:29.5145
 model saved at step :235000| max_psnr:29.5145|max_ssim:0.9313psnr:30.2915 |ssim:0.9754psnr:28.2714 |ssim:0.8824
step :240000 |ssim:0.9289| psnr:29.2814psnr:30.4908 |ssim:0.9779psnr:28.3054 |ssim:0.8834
step :245000 |ssim:0.9307| psnr:29.3981psnr:30.5945 |ssim:0.9773psnr:28.4251 |ssim:0.8852
step :250000 |ssim:0.9312| psnr:29.5098psnr:30.4828 |ssim:0.9767psnr:28.3864 |ssim:0.8844
step :255000 |ssim:0.9306| psnr:29.4346psnr:30.3484 |ssim:0.9768psnr:28.4179 |ssim:0.8851
step :260000 |ssim:0.9310| psnr:29.3831psnr:31.0110 |ssim:0.9782psnr:28.3921 |ssim:0.8840
step :265000 |ssim:0.9311| psnr:29.7016psnr:30.8183 |ssim:0.9777psnr:28.4890 |ssim:0.8863
step :270000 |ssim:0.9320| psnr:29.6537
 model saved at step :270000| max_psnr:29.6537|max_ssim:0.9320psnr:30.5158 |ssim:0.9776psnr:28.5241 |ssim:0.8879
step :275000 |ssim:0.9327| psnr:29.5200psnr:30.7767 |ssim:0.9776psnr:28.4477 |ssim:0.8874
step :280000 |ssim:0.9325| psnr:29.6122psnr:30.8048 |ssim:0.9774psnr:28.4803 |ssim:0.8873
step :285000 |ssim:0.9324| psnr:29.6425psnr:30.7393 |ssim:0.9779psnr:28.4787 |ssim:0.8876
step :290000 |ssim:0.9327| psnr:29.6090psnr:30.9965 |ssim:0.9782psnr:28.5199 |ssim:0.8873
step :295000 |ssim:0.9328| psnr:29.7582
 model saved at step :295000| max_psnr:29.7582|max_ssim:0.9328psnr:30.9770 |ssim:0.9784psnr:28.4584 |ssim:0.8865
step :300000 |ssim:0.9324| psnr:29.7177psnr:30.8072 |ssim:0.9781psnr:28.5166 |ssim:0.8881
step :305000 |ssim:0.9331| psnr:29.6619psnr:30.8768 |ssim:0.9785psnr:28.4623 |ssim:0.8867
step :310000 |ssim:0.9326| psnr:29.6696psnr:30.8122 |ssim:0.9779psnr:28.5354 |ssim:0.8884
step :315000 |ssim:0.9332| psnr:29.6738psnr:31.0585 |ssim:0.9788psnr:28.5512 |ssim:0.8885
step :320000 |ssim:0.9336| psnr:29.8048
 model saved at step :320000| max_psnr:29.8048|max_ssim:0.9336psnr:30.8709 |ssim:0.9779psnr:28.5139 |ssim:0.8884
step :325000 |ssim:0.9332| psnr:29.6924psnr:30.8888 |ssim:0.9781psnr:28.5250 |ssim:0.8888
step :330000 |ssim:0.9335| psnr:29.7069psnr:31.0293 |ssim:0.9785psnr:28.5456 |ssim:0.8886
step :335000 |ssim:0.9336| psnr:29.7874psnr:31.0345 |ssim:0.9783psnr:28.5443 |ssim:0.8889
step :340000 |ssim:0.9336| psnr:29.7894psnr:30.9365 |ssim:0.9782psnr:28.5616 |ssim:0.8885
step :345000 |ssim:0.9334| psnr:29.7491psnr:31.1653 |ssim:0.9788psnr:28.5876 |ssim:0.8894
step :350000 |ssim:0.9341| psnr:29.8765
 model saved at step :350000| max_psnr:29.8765|max_ssim:0.9341psnr:30.8867 |ssim:0.9782psnr:28.6070 |ssim:0.8899
step :355000 |ssim:0.9340| psnr:29.7468psnr:31.0392 |ssim:0.9785psnr:28.6097 |ssim:0.8895
step :360000 |ssim:0.9340| psnr:29.8245psnr:31.2581 |ssim:0.9793psnr:28.6087 |ssim:0.8900
step :365000 |ssim:0.9346| psnr:29.9334
 model saved at step :365000| max_psnr:29.9334|max_ssim:0.9346psnr:30.9705 |ssim:0.9785psnr:28.6094 |ssim:0.8899
step :370000 |ssim:0.9342| psnr:29.7899psnr:31.0555 |ssim:0.9788psnr:28.5973 |ssim:0.8898
step :375000 |ssim:0.9343| psnr:29.8264psnr:31.0857 |ssim:0.9786psnr:28.6190 |ssim:0.8901
step :380000 |ssim:0.9343| psnr:29.8523psnr:30.9507 |ssim:0.9784psnr:28.5841 |ssim:0.8897
step :385000 |ssim:0.9341| psnr:29.7674psnr:30.9769 |ssim:0.9784psnr:28.6165 |ssim:0.8900
step :390000 |ssim:0.9342| psnr:29.7967psnr:31.0117 |ssim:0.9782psnr:28.5891 |ssim:0.8889
step :395000 |ssim:0.9335| psnr:29.8004psnr:31.0635 |ssim:0.9787psnr:28.5739 |ssim:0.8899
step :400000 |ssim:0.9343| psnr:29.8187psnr:31.0456 |ssim:0.9787psnr:28.5761 |ssim:0.8895
step :405000 |ssim:0.9341| psnr:29.8109psnr:31.0907 |ssim:0.9786psnr:28.6157 |ssim:0.8903
step :410000 |ssim:0.9344| psnr:29.8532psnr:31.1033 |ssim:0.9789psnr:28.6106 |ssim:0.8901
step :415000 |ssim:0.9345| psnr:29.8569psnr:31.0980 |ssim:0.9788psnr:28.6066 |ssim:0.8901
step :420000 |ssim:0.9345| psnr:29.8523psnr:31.1344 |ssim:0.9787psnr:28.6277 |ssim:0.8903
step :425000 |ssim:0.9345| psnr:29.8811psnr:31.1080 |ssim:0.9789psnr:28.6354 |ssim:0.8905
step :430000 |ssim:0.9347| psnr:29.8717psnr:31.0644 |ssim:0.9787psnr:28.6143 |ssim:0.8903
step :435000 |ssim:0.9345| psnr:29.8393psnr:31.1187 |ssim:0.9788psnr:28.6277 |ssim:0.8905
step :440000 |ssim:0.9347| psnr:29.8732psnr:31.1272 |ssim:0.9790psnr:28.6127 |ssim:0.8902
step :445000 |ssim:0.9346| psnr:29.8699psnr:31.1221 |ssim:0.9789psnr:28.6209 |ssim:0.8904
step :450000 |ssim:0.9346| psnr:29.8715psnr:31.1045 |ssim:0.9788psnr:28.6265 |ssim:0.8904
step :455000 |ssim:0.9346| psnr:29.8655psnr:31.1211 |ssim:0.9789psnr:28.6293 |ssim:0.8905
step :460000 |ssim:0.9347| psnr:29.8752psnr:31.1268 |ssim:0.9789psnr:28.6202 |ssim:0.8904
step :465000 |ssim:0.9347| psnr:29.8735psnr:31.1323 |ssim:0.9789psnr:28.6095 |ssim:0.8904
step :470000 |ssim:0.9346| psnr:29.8709psnr:31.1314 |ssim:0.9789psnr:28.6153 |ssim:0.8904
step :475000 |ssim:0.9347| psnr:29.8734psnr:31.1365 |ssim:0.9789psnr:28.6246 |ssim:0.8905
step :480000 |ssim:0.9347| psnr:29.8805psnr:31.1350 |ssim:0.9789psnr:28.6225 |ssim:0.8905
step :485000 |ssim:0.9347| psnr:29.8788psnr:31.1378 |ssim:0.9790psnr:28.6283 |ssim:0.8905
step :490000 |ssim:0.9347| psnr:29.8831psnr:31.1364 |ssim:0.9789psnr:28.6262 |ssim:0.8905
step :495000 |ssim:0.9347| psnr:29.8813psnr:31.1377 |ssim:0.9789psnr:28.6259 |ssim:0.8905
step :500000 |ssim:0.9347| psnr:29.88182022-09-24 18:02:432022-09-24 18:29:26
psnr:29.7861 |ssim:0.9731psnr:24.0860 |ssim:0.7718
step :5000 |ssim:0.8725| psnr:26.9360
 model saved at step :5000| max_psnr:26.9360|max_ssim:0.8725psnr:30.4442 |ssim:0.9739psnr:24.5656 |ssim:0.7910
step :10000 |ssim:0.8825| psnr:27.5049
 model saved at step :10000| max_psnr:27.5049|max_ssim:0.8825psnr:30.1824 |ssim:0.9698psnr:24.7460 |ssim:0.7890
step :15000 |ssim:0.8794| psnr:27.4642psnr:30.9768 |ssim:0.9774psnr:25.5093 |ssim:0.8148
step :20000 |ssim:0.8961| psnr:28.2430
 model saved at step :20000| max_psnr:28.2430|max_ssim:0.8961psnr:29.7076 |ssim:0.9738psnr:25.7443 |ssim:0.8168
step :25000 |ssim:0.8953| psnr:27.7259psnr:30.8718 |ssim:0.9768psnr:26.0417 |ssim:0.8312
step :30000 |ssim:0.9040| psnr:28.4567
 model saved at step :30000| max_psnr:28.4567|max_ssim:0.9040psnr:29.3961 |ssim:0.9691psnr:26.3033 |ssim:0.8374
step :35000 |ssim:0.9033| psnr:27.8497psnr:30.1359 |ssim:0.9738psnr:26.2877 |ssim:0.8358
step :40000 |ssim:0.9048| psnr:28.2118psnr:30.3449 |ssim:0.9749psnr:26.1652 |ssim:0.8219
step :45000 |ssim:0.8984| psnr:28.2551psnr:30.3392 |ssim:0.9741psnr:26.4862 |ssim:0.8447
step :50000 |ssim:0.9094| psnr:28.4127psnr:31.2292 |ssim:0.9791psnr:26.5939 |ssim:0.8466
step :55000 |ssim:0.9128| psnr:28.9116
 model saved at step :55000| max_psnr:28.9116|max_ssim:0.9128psnr:30.0653 |ssim:0.9733psnr:26.7403 |ssim:0.8470
step :60000 |ssim:0.9101| psnr:28.4028psnr:30.4067 |ssim:0.9770psnr:26.8539 |ssim:0.8479
step :65000 |ssim:0.9125| psnr:28.6303psnr:30.5151 |ssim:0.9762psnr:26.7443 |ssim:0.8465
step :70000 |ssim:0.9114| psnr:28.6297psnr:30.7909 |ssim:0.9763psnr:26.8167 |ssim:0.8505
step :75000 |ssim:0.9134| psnr:28.8038psnr:30.3237 |ssim:0.9709psnr:27.0955 |ssim:0.8540
step :80000 |ssim:0.9124| psnr:28.7096psnr:29.6235 |ssim:0.9716psnr:27.2641 |ssim:0.8621
step :85000 |ssim:0.9169| psnr:28.4438psnr:30.7633 |ssim:0.9765psnr:27.0603 |ssim:0.8523
step :90000 |ssim:0.9144| psnr:28.9118
 model saved at step :90000| max_psnr:28.9118|max_ssim:0.9144psnr:30.2746 |ssim:0.9757psnr:27.3709 |ssim:0.8614
step :95000 |ssim:0.9186| psnr:28.8228psnr:30.8139 |ssim:0.9778psnr:27.2096 |ssim:0.8619
step :100000 |ssim:0.9199| psnr:29.0118
 model saved at step :100000| max_psnr:29.0118|max_ssim:0.9199psnr:30.3984 |ssim:0.9753psnr:27.4458 |ssim:0.8650
step :105000 |ssim:0.9202| psnr:28.9221psnr:30.4798 |ssim:0.9750psnr:27.3817 |ssim:0.8636
step :110000 |ssim:0.9193| psnr:28.9307psnr:30.6904 |ssim:0.9769psnr:27.4466 |ssim:0.8657
step :115000 |ssim:0.9213| psnr:29.0685
 model saved at step :115000| max_psnr:29.0685|max_ssim:0.9213psnr:30.6833 |ssim:0.9754psnr:27.5521 |ssim:0.8662
step :120000 |ssim:0.9208| psnr:29.1177psnr:30.4649 |ssim:0.9761psnr:27.0091 |ssim:0.8587
step :125000 |ssim:0.9174| psnr:28.7370psnr:30.6717 |ssim:0.9753psnr:27.6107 |ssim:0.8660
step :130000 |ssim:0.9206| psnr:29.1412psnr:30.2853 |ssim:0.9748psnr:27.6039 |ssim:0.8681
step :135000 |ssim:0.9214| psnr:28.9446psnr:30.9209 |ssim:0.9772psnr:27.4689 |ssim:0.8638
step :140000 |ssim:0.9205| psnr:29.1949psnr:30.2443 |ssim:0.9760psnr:27.6004 |ssim:0.8690
step :145000 |ssim:0.9225| psnr:28.9223psnr:30.8501 |ssim:0.9783psnr:27.6547 |ssim:0.8674
step :150000 |ssim:0.9229| psnr:29.2524
 model saved at step :150000| max_psnr:29.2524|max_ssim:0.9229psnr:29.6858 |ssim:0.9739psnr:27.7728 |ssim:0.8695
step :155000 |ssim:0.9217| psnr:28.7293psnr:30.6925 |ssim:0.9772psnr:27.7296 |ssim:0.8716
step :160000 |ssim:0.9244| psnr:29.2110psnr:30.1169 |ssim:0.9719psnr:27.5466 |ssim:0.8700
step :165000 |ssim:0.9210| psnr:28.8317psnr:30.6656 |ssim:0.9773psnr:27.8917 |ssim:0.8745
step :170000 |ssim:0.9259| psnr:29.2786
 model saved at step :170000| max_psnr:29.2786|max_ssim:0.9259psnr:30.4546 |ssim:0.9767psnr:27.8265 |ssim:0.8719
step :175000 |ssim:0.9243| psnr:29.1406psnr:30.5104 |ssim:0.9757psnr:27.7053 |ssim:0.8713
step :180000 |ssim:0.9235| psnr:29.1078psnr:31.0199 |ssim:0.9785psnr:27.7934 |ssim:0.8705
step :185000 |ssim:0.9245| psnr:29.4066psnr:30.8295 |ssim:0.9775psnr:27.8821 |ssim:0.8753
step :190000 |ssim:0.9264| psnr:29.3558
 model saved at step :190000| max_psnr:29.3558|max_ssim:0.9264psnr:30.9074 |ssim:0.9773psnr:27.7936 |ssim:0.8741
step :195000 |ssim:0.9257| psnr:29.3505psnr:30.9050 |ssim:0.9771psnr:27.8902 |ssim:0.8745
step :200000 |ssim:0.9258| psnr:29.3976psnr:30.4071 |ssim:0.9767psnr:27.9204 |ssim:0.8776
step :205000 |ssim:0.9272| psnr:29.1637psnr:30.5382 |ssim:0.9764psnr:28.0777 |ssim:0.8783
step :210000 |ssim:0.9273| psnr:29.3080psnr:30.8190 |ssim:0.9776psnr:28.0401 |ssim:0.8790
step :215000 |ssim:0.9283| psnr:29.4295
 model saved at step :215000| max_psnr:29.4295|max_ssim:0.9283psnr:30.4252 |ssim:0.9767psnr:28.1022 |ssim:0.8778
step :220000 |ssim:0.9273| psnr:29.2637psnr:30.4976 |ssim:0.9761psnr:27.9685 |ssim:0.8732
